name,URL,stars,type,rating,pitches,Length,latitude,longitude,id,location,grade,safety,Unnamed: 0
Aiguille de Joshua Tree (aka The Finger of Hercules),https://www.mountainproject.com/route/105721981/aiguille-de-joshua-tree-aka-the-finger-of-hercules,3.0,Trad,5.5 X,1,30,34.01514,-116.17858,105721981,"['Aiguille de Joshua Tree', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",5,X,
The Chief,https://www.mountainproject.com/route/105724168/the-chief,2.4,Trad,5.5,1,40,34.04045,-116.17781,105724168,"['Reggie Dome', 'North Wonderland Approach', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",5,S,
Men with Cow's Heads,https://www.mountainproject.com/route/105722410/men-with-cows-heads,2.0,Trad,5.5,1,50,34.01886,-116.18016,105722410,"['Atlantis Wall - Right', 'Atlantis Wall', 'Atlantis Area', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",5,S,
Bat Crack,https://www.mountainproject.com/route/105976311/bat-crack,2.0,Trad,5.5,2,180,34.0148,-116.163,105976311,"['Intersection Rock', 'Hidden Valley Campground', 'Joshua Tree National Park', 'California']",5,S,
Beginner's Two,https://www.mountainproject.com/route/105723241/beginners-two,1.6,Trad,5.5,1,170,34.01799,-116.16431,105723241,"['The Blob - West Face', 'The Blob', 'Hidden Valley Campground', 'Joshua Tree National Park', 'California']",5,S,
Donna T's Route,https://www.mountainproject.com/route/105725026/donna-ts-route,1.6,Trad,5.5,1,30,34.09258,-116.15315,105725026,"['Short Wall - Right Side', 'Short Wall', 'Indian Cove Campground', 'Indian Cove', 'Joshua Tree National Park', 'California']",5,S,
Barely Crankin',https://www.mountainproject.com/route/105724606/barely-crankin,2.1,Trad,5.5,1,40,33.98248,-116.15446,105724606,"['The Manure Pile', 'Ryan Campground', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",5,S,
Kodiak,https://www.mountainproject.com/route/105874284/kodiak,2.0,Trad,5.5,1,30,34.0538,-116.18113,105874284,"['Bear Island', 'North Wonderland Approach', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",5,S,
Roboranger,https://www.mountainproject.com/route/105797044/roboranger,1.3,Trad,5.5,2,150,34.01032,-116.18083,105797044,"['Mount Grossvogel', 'Real Hidden Valley', 'Joshua Tree National Park', 'California']",5,S,
Filch,https://www.mountainproject.com/route/105858768/filch,1.8,Trad,5.5,1,40,34.04031,-116.19715,105858768,"['Trashcan Rock - East Face', 'Trashcan Rock', 'Quail Springs Area', 'Joshua Tree National Park', 'California']",5,S,
39 Steps,https://www.mountainproject.com/route/105928207/39-steps,2.2,Trad,5.5,1,40,34.03265,-116.13959,10592820739,"['Sergeant Rock', 'South Wonderland Approach', 'Wonderland South', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",5,S,
Yellow Peril,https://www.mountainproject.com/route/106052784/yellow-peril,2.1,Trad,5.5,1,120,34.07225,-116.1721,106052784,"['Asian Friends Buttress', 'West Mongolia', 'Outer Mongolia', 'The Middle Kingdom', 'Wonderland North', 'Wonderland of Rocks', 'Joshua Tree National Park', 'California']",5,S,
Trench Connection,https://www.mountainproject.com/route/105723358/trench-connection,2.2,Trad,5.5,1,60,33.96801,-116.08494,105723358,"[""Crow's Nest"", 'Towers of Uncertainty', 'Geology Tour Road', 'Joshua Tree National Park', 'California']",5,S,
Wilson Regular Route,https://www.mountainproject.com/route/105723322/wilson-regular-route,1.7,Trad,5.5 R,3,200,34.02166,-116.1788,105723322,"['Lost Horse Wall - Right Side', 'Lost Horse Wall', 'Lost Horse Area', 'Joshua Tree National Park', 'California']",5,R,
Crack N' Up,https://www.mountainproject.com/route/105857614/crack-n-up,1.7,Trad,5.5,1,30,33.96083,-116.021,105857614,"['Bronto Rock', 'Stirrup Tank', 'Joshua Tree National Park', 'California']",5,S,
Blistering,https://www.mountainproject.com/route/105982360/blistering,2.0,Trad,5.5,1,,34.01109,-116.16637,105982360,"['Turtle Rock - East Face', 'Turtle Rock', 'Real Hidden Valley Vicinity', 'Real Hidden Valley', 'Joshua Tree National Park', 'California']",5,S,
Patagucci,https://www.mountainproject.com/route/106697946/patagucci,2.5,Trad,5.5,1,50,34.02129,-116.16597,106697946,"['Patagonia Pile - West Face', 'Patagonia Pile', 'The Outback', 'Joshua Tree National Park', 'California']",5,S,
Chernobyl Crack,https://www.mountainproject.com/route/105851624/chernobyl-crack,2.0,Trad,5.5,1,50,33.99403,-116.0693,105851624,"['Nuclear Reactor Rock', 'Jumbo Rock Area', 'Joshua Tree National Park', 'California']",5,S,
Hartman,https://www.mountainproject.com/route/105724402/hartman,1.6,"Trad, TR",5.5,1,30,33.98842,-116.16228,105724402,"['John Yablonski Rock', 'Cap Rock Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",5,S,
"Hey McLeod, Get Off of My Ewe",https://www.mountainproject.com/route/106770049/hey-mcleod-get-off-of-my-ewe,2.5,"Trad, Aid",5.5 A3-,1,80,33.99344,-116.13893,106770049,"['Saddle Rocks - Cantle', 'Saddle Rocks', 'Saddle Rocks Area', 'Sheep Pass Area', 'Joshua Tree National Park', 'California']",5,S,
KP's Pot Belly,https://www.mountainproject.com/route/106783993/kps-pot-belly,2.5,"Trad, Aid",5.5 A2,1,60,33.9571,-116.1205,106783993,"['Northwest Slab', 'Darwin Dome', 'The Galapagos', 'Geology Tour Road', 'Joshua Tree National Park', 'California']",5,S,
Sonic and the Hot Dog Water,https://www.mountainproject.com/route/106813085/sonic-and-the-hot-dog-water,2.1,Sport,5.5,1,80,34.02465,-116.15513,106813085,"['Echo Rock - South Face', 'Echo Rock', 'Echo Rock Area', 'Joshua Tree National Park', 'California']",5,S,
Lizard Breath Arden (aka Lizard Robbins),https://www.mountainproject.com/route/105722887/lizard-breath-arden-aka-lizard-robbins,1.3,Trad,5.5,1,30,34.03026,-116.18244,105722887,"[""Lizard's Hangout"", 'Roadside Rocks', 'Joshua Tree National Park', 'California']",5,S,
Lizard Taylor,https://www.mountainproject.com/route/105837400/lizard-taylor,1.5,Trad,5.5 R,1,50,34.03026,-116.18244,105837400,"[""Lizard's Hangout"", 'Roadside Rocks', 'Joshua Tree National Park', 'California']",5,R,
