Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"King Of Jesters, Jester To Kings","The Trad Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723232/king-of-jesters-jester-to-kings,1.5,-1,Trad,5.10d,1,50,34.07265,-116.14076
"My Helmet is Bigger Than Your Helmet","Featherless Peacock Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723463/my-helmet-is-bigger-than-your-helmet,2.0,-1,Trad,5.10d,1,70,34.07334,-116.14192
Boortemus,"Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722686/boortemus,2.9,-1,Trad,5.10+,1,35,34.08599,-116.14488
"Bourbon on Ice","Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722692/bourbon-on-ice,2.1,-1,Trad,5.10d,1,60,34.08599,-116.14488
"Wild Wild West","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105725041/wild-wild-west,1.7,-1,Sport,5.10d,1,60,34.08348,-116.14258
"Exiled in Sweden","The Bulkhead > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723280/exiled-in-sweden,2.0,-1,Trad,5.10d,1,80,34.07856,-116.14012
"Love Comes in Spurts","The KD Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106402142/love-comes-in-spurts,1.0,-1,Trad,5.10+,1,40,34.07839,-116.14248
"Tribal Gambling","Indian Country > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724414/tribal-gambling,1.0,-1,Trad,5.10d,1,40,34.08111,-116.14794
"Murf's Law","Chocolate Corridor > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724900/murfs-law,1.0,-1,TR,5.10d,1,50,34.0835,-116.1406
"Detachable Penis","Detached Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724453/detachable-penis,2.0,-1,Trad,5.10d,1,40,34.0835,-116.1406
"Virginia City","Ponderosa Wall / Black Tower > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105906981/virginia-city,3.0,-1,Sport,5.10d,1,80,34.08182,-116.14139
Udi,"Udi Buttress Area > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106759957/udi,2.0,-1,Trad,5.10+,1,120,34.07616,-116.14317
IASFRAYASMF,"Camp Wall > Group Campsite  8 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105900684/iasfrayasmf,0.0,-1,Sport,"5.10+ X",1,50,34.097,-116.1592
Simba,"Africa Face > Group Campsite 11 > Group Campsites Road > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105953245/simba,1.0,-1,Trad,"5.10d PG13",1,,34.09639,-116.1649
"Left Arete","Short Wall - Left Side > Short Wall > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106345582/left-arete,1.5,-1,TR,5.10+,1,60,34.09258,-116.15368
"'Til Death Do Us Fart","Morbid Mound > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/107127045/til-death-do-us-fart,1.8,-1,Trad,5.10d,1,60,34.0963,-116.1522
"Circle of Benevolence","Varnished Wall > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723049/circle-of-benevolence,2.6,-1,Trad,5.10d,1,90,34.09406,-116.15493
"Presence of Grace","Varnished Wall > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723052/presence-of-grace,2.5,-1,Trad,5.10d,1,90,34.09406,-116.15493
"Character Flaw","The Tooth > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106041408/character-flaw,1.5,-1,Trad,5.10c/d,1,60,34.09355,-116.16265
"Fraud Squad","Willit Pillar > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723043/fraud-squad,1.0,-1,Trad,5.10d,1,40,34.0933,-116.15514
"Skid Row (aka Air Play)","Corona/Dos Equis Wall > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106975618/skid-row-aka-air-play,1.0,-1,Trad,"5.10d R",1,70,34.09361,-116.16236
"Val De Mello","The Bilbo Buttresses > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724960/val-de-mello,2.1,-1,Sport,5.10d,1,50,34.09338,-116.15583
"Sean Penn","The Bilbo Buttresses > Indian Cove Campground > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/111536541/sean-penn,2.7,-1,Sport,5.10d,1,40,34.09338,-116.15583
