Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
"It's Good To Be King","The Trad Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723238/its-good-to-be-king,1.7,-1,Trad,5.8,1,70,34.07265,-116.14076
"Blues for the Red Sun","The Helmet > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723268/blues-for-the-red-sun,1.0,-1,Trad,5.8,1,60,34.07297,-116.14278
"Don't Eat the Worm","Approach Boulders > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106760113/dont-eat-the-worm,1.0,-1,Sport,5.8,1,50,34.07334,-116.14192
Stucco,"Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/108271743/stucco,2.2,-1,Sport,5.8,1,40,34.08599,-116.14488
"Slippery Slope","Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/116158425/slippery-slope,1.7,-1,Sport,5.8,1,65,34.08599,-116.14488
"Bad Water","Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/108271859/bad-water,1.7,-1,Trad,5.8,1,40,34.08599,-116.14488
"Pretty Woman","Iceberg Boulder > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/108271846/pretty-woman,2.6,-1,Sport,5.8+,1,40,34.08599,-116.14488
Squirty,"The Polka Dot Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724858/squirty,1.0,-1,Trad,5.8,1,40,34.0835,-116.1406
"The Mormon Sleepover","The Polka Dot Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722821/the-mormon-sleepover,1.5,-1,Trad,5.8+,1,70,34.0835,-116.1406
"Pluton Splendor","The Polka Dot Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105724876/pluton-splendor,1.0,-1,Trad,5.8+,1,50,34.0835,-116.1406
"Taken for Granite","Rattlesnake Buttress > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722995/taken-for-granite,3.1,-1,Trad,5.8-,1,120,34.07734,-116.14081
"200 Motels","Rattlesnake Buttress > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105722998/200-motels,2.8,-1,Trad,5.8,1,110,34.07734,-116.14081
"Back Up Singers","Rattlesnake Buttress > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723001/back-up-singers,2.9,-1,Trad,5.8,1,180,34.07734,-116.14081
"Approach Pitch","Rattlesnake Buttress > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106107985/approach-pitch,1.0,-1,Trad,"5.8+ PG13",1,80,34.07734,-116.14081
"Party in the West","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/110104651/party-in-the-west,1.4,-1,Trad,5.8,1,70,34.08348,-116.14258
"Wide Ride","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/110098544/wide-ride,1.5,-1,Trad,5.8,1,60,34.08348,-116.14258
"A Fistfull of Poodles","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723061/a-fistfull-of-poodles,1.5,-1,Trad,5.8,1,60,34.08348,-116.14258
"Herd Instinct","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/107483611/herd-instinct,1.0,-1,Trad,5.8,1,60,34.08348,-116.14258
"Chuck Wagon Crack","Corral Wall - Left Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723775/chuck-wagon-crack,1.5,-1,Trad,"5.8+ R",2,70,34.08348,-116.14258
"Pony Express","Corral Wall - Right Side > Corral Wall > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105911210/pony-express,1.5,-1,Trad,5.8,1,50,34.08355,-116.14213
