Route,Location,URL,"Avg Stars","Your Stars","Route Type",Rating,Pitches,Length,"Area Latitude","Area Longitude"
Eraserhead,"[Redacted] > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723097/eraserhead,1.5,-1,Trad,5.9,1,95,34.07411,-116.14171
"Wounded Knee","[Redacted] > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723088/wounded-knee,1.8,-1,Trad,5.10a,1,,34.07411,-116.14171
"Mulholland Drive","[Redacted] > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723085/mulholland-drive,2.5,-1,Trad,"5.11c R",1,90,34.07411,-116.14171
"Powered by Old English","[Redacted] > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723079/powered-by-old-english,3.8,-1,Trad,5.11d,1,85,34.07411,-116.14171
"Waltz for Debby","The Arrowhead > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723265/waltz-for-debby,1.3,-1,Trad,5.10a,1,60,34.07261,-116.14067
"Firewater Chimney","The Arrowhead > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723082/firewater-chimney,3.6,-1,Trad,5.10b,1,90,34.07261,-116.14067
"The Last Stand","The Arrowhead > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723094/the-last-stand,3.8,-1,Sport,5.12a,1,90,34.07261,-116.14067
"The Balloon That Would Not Die","The Trad Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723229/the-balloon-that-would-not-die,2.0,-1,Trad,5.7,2,220,34.07265,-116.14076
"It's Good To Be King","The Trad Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723238/its-good-to-be-king,1.7,-1,Trad,5.8,1,70,34.07265,-116.14076
"The Sanga's On Fire","The Trad Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723274/the-sangas-on-fire,2.5,-1,Trad,5.10a,2,160,34.07265,-116.14076
"King Of Jesters, Jester To Kings","The Trad Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723232/king-of-jesters-jester-to-kings,1.5,-1,Trad,5.10d,1,50,34.07265,-116.14076
"Witch Hunt","Slatanic Area > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723259/witch-hunt,2.9,-1,Trad,5.10b,1,90,34.07453,-116.13872
"Devil's Advocate","Slatanic Area > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723253/devils-advocate,2.5,-1,Trad,5.11a,1,90,34.07453,-116.13872
"South of Heaven","Slatanic Area > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723256/south-of-heaven,4.0,-1,Sport,5.12d,1,80,34.07453,-116.13872
"Blues for the Red Sun","The Helmet > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723268/blues-for-the-red-sun,1.0,-1,Trad,5.8,1,60,34.07297,-116.14278
"The Tomahawk","The Helmet > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723271/the-tomahawk,4.0,-1,Trad,5.12a,2,200,34.07297,-116.14278
"Eagle Talons","The Corrugated Wall > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723343/eagle-talons,3.5,-1,Sport,5.12a,1,90,34.07416,-116.13882
"One Size Does Not Fit All","Featherless Peacock Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723469/one-size-does-not-fit-all,2.0,-1,Trad,5.10b,1,60,34.07334,-116.14192
"My Helmet is Bigger Than Your Helmet","Featherless Peacock Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723463/my-helmet-is-bigger-than-your-helmet,2.0,-1,Trad,5.10d,1,70,34.07334,-116.14192
"White Noise","Featherless Peacock Crag > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723466/white-noise,1.0,-1,Trad,5.11a,1,60,34.07334,-116.14192
"The Melon Cracker","The Cranium > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723730/the-melon-cracker,2.0,-1,Trad,5.10a,1,70,34.07334,-116.14192
Alchemy,"The Cranium > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723724/alchemy,3.0,-1,Trad,5.11a,1,60,34.07334,-116.14192
211,"The Grand Fuqua > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723871/211,1.5,-1,Trad,5.10c,1,30,34.07334,-116.14192
"Colocado Crack","The Cartesian Theater > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/105723868/colocado-crack,1.0,-1,Trad,5.10b,1,40,34.07334,-116.14192
"Don't Eat the Worm","Approach Boulders > The Valley of Kings > Rattlesnake Canyon > Indian Cove > Joshua Tree National Park > California",https://www.mountainproject.com/route/106760113/dont-eat-the-worm,1.0,-1,Sport,5.8,1,50,34.07334,-116.14192
