id,rating,stars,type,longitude,latitude
105722065,5.10b,4.8,Trad,-116.1713,34.013
105721816,5.10b R,4.9,Trad,-116.1476,34.0389
105725122,5.11a/b,4.9,Trad,-116.1716,34.0198
105721822,5.12a,4.9,Trad,-116.1691,34.0141
105725101,5.10c,4.9,Trad,-116.0572,34.006
105721624,5.10a,4.7,Trad,-116.0587,34.0047
105722197,5.10d,4.8,Trad,-116.1557,34.0244
105722113,5.11b/c,4.8,Trad,-116.1629,34.0212
105722353,5.11a,4.7,Trad,-116.1722,34.0321
105722548,5.10d,4.8,Trad,-116.18,34.0202
105722356,5.11c,4.8,Trad,-116.1722,34.0321
105725659,5.11a,4.7,Trad,-116.1435,33.9895
105721615,5.7+,4.5,Trad,-116.1639,34.0166
105721792,5.10c,4.7,Trad,-116.1691,34.0141
105721747,5.6,4.3,Sport,-116.1524,33.9844
105722344,5.10b R,4.6,Trad,-116.1713,34.0123
105722179,5.8-,4.5,Trad,-116.1682,34.0146
105722572,5.11a R,4.6,Trad,-116.158,34.0245
105722359,5.9,4.5,Trad,-116.1574,34.0256
105725788,5.10a/b,4.5,Trad,-116.1471,34.0386
105721831,5.10a,4.5,Trad,-116.1469,33.9998
105722086,5.10b PG13,4.5,Trad,-116.1661,34.0187
105722743,5.10a,4.5,Trad,-116.1777,34.0227
105721666,5.10a,4.5,Trad,-116.1562,34.0251
105722305,5.8,4.3,Trad,-116.1788,34.0217
105722431,5.10a,4.4,Trad,-116.1473,34.0515
105721861,5.8+,4.4,Trad,-116.1471,34.0386
105722716,5.9,4.4,Trad,-116.199,34.0292
105723478,5.9,4.4,Trad,-116.199,34.0292
105721849,5.10b,4.3,Trad,-116.1778,34.0239
105724099,5.9,4.3,Trad,-116.1439,34.0372
105723325,5.10a,4.3,Trad,-116.1788,34.0217
105721750,5.8,4.1,Sport,-116.1524,33.9844
105722188,5.9,4.2,Trad,-116.1551,34.0246
105721828,5.8,4.1,Trad,-116.14,33.9945
105722428,5.10c,4.3,Trad,-116.1787,34.0233
105722842,5.9,4.2,Trad,-116.1468,34.0363
105725389,5.10a,4.2,Trad,-116.1778,34.0239
105722749,5.11a,4.5,Sport,-116.1777,34.0227
105722050,5.10a,4.2,Trad,-116.1712,34.0105
105721930,5.4,4,Trad,-116.1594,34.015
105725620,5.10b,4.2,Trad,-116.1651,34.0227
105724777,5.9,4.2,Trad,-116.0682,33.9952
106683237,5.10b/c,4.2,Trad,-116.1551,34.0246
105721654,5.8,4.1,Trad,-116.163,34.0148
105722467,5.10a,4.2,Trad,-116.1792,34.0246
105725401,5.9+,4.1,Trad,-116.1777,34.0215
105725131,5.11a,4.1,Trad,-116.163,34.0148
105724486,5.10a,4.1,Sport,-116.1699,34.0696
105722146,5.10b,4.1,Trad,-116.0712,33.9504
